group,loglik for men's names,loglik for women's names,combined loglik
Democrat,-0.03054527462184975,0.3390554269887741,0.15930821077579582
Non-Partisan,0.0024328390875449635,0.44775312324533434,0.21873126282132827
Republican,-0.0006457462746305154,0.6347757883705591,0.30235618922747465
progressive,-0.0011358396910430835,0.2990727211368006,0.14563279004701357
moderate,-0.011807792993908217,0.6740390555696436,0.30825406966908364
conservative,-0.029827233138138676,0.4378613566180689,0.2181505081336974
