group,loglik for men's names,loglik for women's names,combined loglik
Democrat,-0.9396080963350946,-1.422196264069265,-1.1827872902323906
Non-Partisan,-0.7977951985370574,-1.2676089970711961,-1.0346197051450823
Republican,-0.7519326286505017,-1.3891119699778707,-1.0713651291307587
progressive,-1.012136724558752,-1.4346938570110352,-1.2271042816237647
moderate,-0.7476777310796949,-1.3347617041124848,-1.0486747521742867
conservative,-0.7818472794855748,-1.3983811574454366,-1.08237124982551
