group,loglik for men's names,loglik for women's names,combined loglik
Democrat,-0.5674912156402702,-1.3106817408911442,-0.9492472862281206
Non-Partisan,-0.4986649210110964,-1.0919929434889895,-0.7868528176432156
Republican,-0.5215497410366436,-1.1066826603100628,-0.8005714571716538
progressive,-0.5160038217889678,-1.3537009405754343,-0.9255446354179064
moderate,-0.5555371850945378,-0.9622102707106281,-0.7453179583820458
conservative,-0.5466174604338383,-1.279993549299652,-0.9354679690907122
