group,loglik for men's names,loglik for women's names,combined loglik
Democrat,-0.21325119008981955,-1.2847108238829201,-0.7636298691671355
Non-Partisan,-0.15774330593116262,-1.2431620571183375,-0.6849466993649335
Republican,-0.23827991930003575,-1.650999546869325,-0.9119378898539106
progressive,-0.16970867478724705,-1.1962086209679765,-0.6715530929200476
moderate,-0.2234401222406951,-1.5466206371825526,-0.8409243625468958
conservative,-0.25837091514707416,-1.5137559009497525,-0.9240008664105824
