group,loglik for men's names,loglik for women's names,combined loglik
Democrat,-0.2437964647116693,-0.9456553968941458,-0.6043216583913397
Non-Partisan,-0.15531046684361766,-0.7954089338730032,-0.4662154365436052
Republican,-0.2389256655746662,-1.016223758498766,-0.6095817006264359
progressive,-0.17084451447829013,-0.8971358998311757,-0.525920302873034
moderate,-0.2352479152346033,-0.872581581612909,-0.5326702928778122
conservative,-0.28819814828521284,-1.0758945443316834,-0.705850358276885
