group,loglik for men's names,loglik for women's names,combined loglik,n_participants,n_observations_mens_names,n_observations_womens_names,n_observations_total
Democrat,0.04587004148247087,0.7451388719887799,0.3982359756047895,0,0,0,0
Non-Partisan,0.0897728985696542,0.9514339693593605,0.5241204179269121,0,0,0,0
Republican,-0.034973915209836726,0.8858414342982892,0.42665176926579274,0,0,0,0
progressive,0.08490753282248042,0.753909200607433,0.42524885746545404,0,0,0,0
moderate,0.027982212953154506,0.906765261205275,0.47853288689828277,0,0,0,0
conservative,-0.05132602206466286,0.8217491831042858,0.37424674277828096,0,0,0,0
