group,loglik for men's names,loglik for women's names,combined loglik
Democrat,-0.3911395195074327,-0.6565670412999883,-0.5171139097331967
Non-Partisan,-0.4191853964259352,-0.591746356486561,-0.5042332981701005
Republican,-0.35652336568538223,-0.5959728323182717,-0.472368130792498
progressive,-0.3580257807673779,-0.6156009805066188,-0.48395143397322954
moderate,-0.3819577430180873,-0.6404025666665001,-0.4989758159477856
conservative,-0.4030823373946173,-0.6165012123746384,-0.5097917748846282
