group,loglik for men's names,loglik for women's names,combined loglik
Democrat,-1.1827405241425164,-1.3331474436959563,-1.2567689298602247
Non-Partisan,-0.9413719564490454,-1.3767647779217527,-1.1559584184605933
Republican,-0.7381045048943413,-1.4164326386630985,-1.080408979805429
progressive,-1.2962875604854296,-1.473891981677801,-1.3875564991537326
moderate,-0.8352107441746105,-1.2277632382766916,-1.0380295327940199
conservative,-0.8169761054132307,-1.420822986825471,-1.0956746660650354
